"","Score","Potential ScorePerfect: 14","CAR 21@PIT 52","NO 51@CIN 14","ATL 16@CLE 28","JAX 26@IND 29","DET 22@CHI 34","AZ 14@KC 26","NE 10@TEN 34","WAS 16@TB 3","BUF 41@NYJ 10","LAC 20@OAK 6","MIA 12@GB 31","SEA 31@LAR 36","DAL 27@PHI 20","NYG 27@SF 23","Tie BreakerPredictionActual: 50"
"","","click for stats:","","","","","","","","","","","","","","","[?]"
"GeveandSteveandStella","8","8","PIT","NO","ATL","JAX","DET","KC","NE","WAS","NYJ","LAC","GB","LAR","PHI","NYG","31"
"West Coast Eagles Fan","7","7","PIT","NO","ATL","IND","CHI","AZ","NE","TB","NYJ","LAC","MIA","LAR","PHI","NYG","50"
"stanley steamer","7","7","CAR","NO","ATL","IND","CHI","KC","NE","TB","NYJ","LAC","GB","LAR","PHI","SF","52"
"Jay's Gramps","7","7","CAR","NO","ATL","IND","CHI","KC","NE","TB","NYJ","LAC","GB","LAR","PHI","SF","52"
"coach1","7","7","PIT","NO","ATL","JAX","CHI","KC","NE","TB","NYJ","LAC","GB","LAR","PHI","SF","52"
"USMC1125","7","7","PIT","CIN","CLE","JAX","DET","KC","NE","TB","NYJ","LAC","GB","LAR","DAL","SF","52"
"Slugger53","7","7","PIT","NO","ATL","JAX","CHI","KC","NE","TB","NYJ","LAC","GB","LAR","PHI","SF","48"
"HEADLY IV","7","7","PIT","NO","ATL","JAX","CHI","KC","NE","TB","NYJ","LAC","GB","LAR","PHI","SF","47"
"Nugget2018","7","7","PIT","NO","ATL","JAX","CHI","KC","NE","TB","NYJ","LAC","GB","SEA","PHI","NYG","47"
"RichieRich$$","7","7","CAR","NO","ATL","IND","CHI","KC","NE","TB","NYJ","LAC","GB","LAR","PHI","SF","46"
"Perjodi","7","7","PIT","CIN","ATL","JAX","CHI","KC","NE","WAS","NYJ","LAC","GB","LAR","PHI","SF","44"
"HAPPY NESS","7","7","PIT","NO","ATL","JAX","CHI","KC","NE","TB","NYJ","LAC","GB","LAR","PHI","SF","43"
"Knead A Win","7","7","PIT","NO","ATL","JAX","CHI","KC","NE","TB","NYJ","LAC","GB","LAR","PHI","SF","42"
"j3live","7","7","CAR","CIN","ATL","IND","CHI","KC","NE","WAS","NYJ","LAC","GB","LAR","PHI","SF","41"
"$man","7","7","PIT","NO","ATL","JAX","CHI","KC","NE","TB","NYJ","LAC","GB","LAR","PHI","SF","41"
"Wentz is Jewish","7","7","PIT","NO","ATL","JAX","CHI","KC","NE","TB","NYJ","LAC","GB","LAR","PHI","SF","39"
"LARRY SHIVTGERALD","7","7","-","NO","ATL","IND","CHI","KC","NE","TB","NYJ","LAC","GB","LAR","PHI","SF","39"
"jtyler15","7","7","CAR","NO","ATL","IND","CHI","KC","NE","TB","NYJ","LAC","GB","LAR","PHI","SF","37"
"Sparky","7","7","CAR","NO","ATL","IND","CHI","KC","NE","TB","NYJ","LAC","GB","LAR","PHI","SF","34"
"Jack","7","7","PIT","NO","ATL","JAX","CHI","KC","NE","WAS","NYJ","LAC","GB","SEA","PHI","SF","31"
"tnrosen","6","6","CAR","NO","ATL","JAX","CHI","KC","NE","TB","NYJ","LAC","GB","LAR","PHI","SF","33"
"The Real Slim Brady","5","5","CAR","NO","ATL","JAX","DET","KC","NE","TB","NYJ","LAC","GB","LAR","PHI","SF","0"
"Bill's Mafia","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0"
