"","Score","Potential ScorePerfect: 14","DEN 45@AZ 10","TEN 19@LAC 20","CLE 23@TB 26","CAR 21@PHI 17","MN 37@NYJ 17","DET 32@MIA 21","NE 38@CHI 31","BUF 5@IND 37","HOU 20@JAX 7","NO 24@BAL 23","DAL 17@WAS 20","LAR 39@SF 10","CIN 10@KC 45","NYG 20@ATL 23","Tie BreakerPredictionActual: 43"
"","","click for stats:","","","","","","","","","","","","","","","[?]"
"cammax716","9","9","DEN","LAC","CLE","PHI","MN","MIA","NE","IND","JAX","BAL","WAS","LAR","KC","ATL","51"
"Pioneers85","9","9","AZ","LAC","TB","PHI","NYJ","DET","NE","IND","JAX","NO","WAS","LAR","KC","NYG","51"
"Pauly12","9","9","DEN","LAC","CLE","PHI","MN","DET","NE","IND","JAX","BAL","DAL","LAR","KC","ATL","54"
"Boldman","9","9","DEN","LAC","CLE","PHI","MN","DET","NE","IND","JAX","BAL","DAL","LAR","KC","ATL","54"
"Cold Steel","9","9","AZ","LAC","TB","PHI","MN","MIA","NE","IND","JAX","NO","DAL","LAR","KC","ATL","55"
"$man","9","9","DEN","LAC","TB","PHI","MN","MIA","CHI","IND","JAX","NO","DAL","LAR","KC","ATL","55"
"Torch","9","9","DEN","TEN","TB","PHI","MN","MIA","NE","IND","JAX","NO","DAL","LAR","KC","ATL","55"
"madbolt","9","9","AZ","LAC","TB","PHI","MN","DET","CHI","IND","JAX","NO","DAL","LAR","KC","ATL","58"
"Lucky Laits","9","9","AZ","LAC","TB","PHI","MN","MIA","NE","IND","JAX","NO","WAS","LAR","KC","NYG","61"
"Mark_W","8","8","AZ","LAC","CLE","PHI","MN","MIA","NE","IND","HOU","BAL","WAS","LAR","KC","NYG","43"
"West Coast Best Coast","8","8","AZ","LAC","TB","PHI","MN","MIA","NE","BUF","JAX","BAL","WAS","LAR","KC","ATL","42"
"Fire Goodell","8","8","DEN","TEN","TB","PHI","NYJ","MIA","NE","IND","JAX","BAL","WAS","LAR","KC","ATL","42"
"Dorf","8","8","AZ","LAC","TB","PHI","MN","MIA","NE","IND","JAX","BAL","DAL","LAR","KC","ATL","44"
"HayMadEm","8","8","AZ","LAC","TB","PHI","MN","MIA","NE","IND","JAX","BAL","DAL","LAR","KC","ATL","45"
"Eggman","8","8","DEN","LAC","CLE","PHI","NYJ","MIA","CHI","IND","JAX","NO","WAS","LAR","KC","ATL","45"
"Jaddie's Daddy","8","8","AZ","LAC","TB","PHI","MN","MIA","CHI","IND","JAX","BAL","WAS","LAR","KC","ATL","40"
"Teddy","8","8","DEN","LAC","CLE","PHI","NYJ","MIA","NE","BUF","JAX","NO","WAS","LAR","KC","ATL","47"
"LARRY SHIVTGERALD","8","8","-","LAC","CLE","PHI","MN","MIA","NE","IND","JAX","NO","DAL","LAR","KC","ATL","48"
"Bill's Mafia","8","8","AZ","LAC","TB","PHI","MN","DET","CHI","BUF","JAX","NO","DAL","LAR","KC","ATL","51"
"j3live","8","8","AZ","LAC","CLE","PHI","NYJ","DET","CHI","IND","JAX","NO","WAS","LAR","KC","ATL","53"
"Wentz is Jewish","8","8","-","LAC","TB","CAR","MN","DET","CHI","IND","JAX","BAL","DAL","LAR","KC","NYG","64"
"TuesdayMorningQB","7","7","DEN","LAC","CLE","PHI","NYJ","MIA","NE","IND","JAX","NO","DAL","LAR","KC","NYG","42"
"They Might Be Giants!","7","7","AZ","LAC","CLE","PHI","MN","DET","CHI","IND","JAX","BAL","DAL","LAR","KC","ATL","48"
"Saquads Scores!","7","7","DEN","TEN","CLE","PHI","MN","MIA","NE","IND","JAX","BAL","WAS","LAR","KC","NYG","37"
"stanley steamer","7","7","DEN","LAC","CLE","PHI","NYJ","MIA","NE","IND","HOU","BAL","DAL","LAR","KC","NYG","52"
"Dr Blue","7","7","AZ","LAC","CLE","PHI","MN","MIA","NE","IND","JAX","NO","WAS","LAR","CIN","NYG","34"
"Larry1223","7","7","AZ","LAC","CLE","PHI","MN","MIA","CHI","IND","JAX","BAL","WAS","LAR","KC","ATL","58"
