"","Score","Potential ScorePerfect: 16","ATL 12@PHI 18","BUF 3@BAL 47","JAX 20@NYG 15","TB 48@NO 40","HOU 20@NE 27","SF 16@MN 24","CIN 34@IND 23","PIT 21@CLE 21","KC 38@LAC 28","SEA 24@DEN 27","DAL 8@CAR 16","WAS 24@AZ 6","TEN 20@MIA 27","CHI 23@GB 24","NYJ 48@DET 17","LAR 33@OAK 13","Tie BreakerPredictionActual: 46"
"","","click for stats:","","","","","","","","","","","","","","","","","[?]"
"JustMonkeyinAround","10","10","PHI","BAL","JAX","NO","HOU","MN","IND","PIT","KC","DEN","CAR","AZ","TEN","GB","DET","LAR","31"
"GeveandSteveandStella","10","10","PHI","BAL","JAX","NO","NE","MN","CIN","PIT","LAC","SEA","DAL","WAS","TEN","GB","DET","LAR","31"
"The Real Slim Brady","10","10","PHI","BAL","NYG","NO","NE","SF","IND","PIT","KC","SEA","CAR","AZ","MIA","GB","NYJ","LAR","0"
"Art","10","10","PHI","BAL","NYG","NO","NE","MN","IND","PIT","LAC","DEN","CAR","AZ","MIA","GB","DET","LAR","0"
"SuperBowl 52 Champs","9","9","PHI","BAL","JAX","NO","NE","MN","IND","PIT","LAC","SEA","CAR","AZ","TEN","GB","DET","LAR","44"
"Team Rovner","9","9","PHI","BAL","JAX","NO","NE","MN","IND","CLE","LAC","DEN","DAL","AZ","TEN","GB","DET","LAR","44"
"$man","9","9","ATL","BAL","JAX","NO","NE","MN","IND","PIT","LAC","DEN","CAR","AZ","TEN","GB","NYJ","OAK","44"
"Keith Swet Tailor","9","9","ATL","BAL","JAX","NO","NE","MN","IND","PIT","LAC","DEN","CAR","AZ","TEN","GB","DET","LAR","44"
"Kosher Dilly Dilly","9","9","ATL","BAL","NYG","NO","NE","MN","CIN","PIT","LAC","DEN","CAR","AZ","TEN","GB","DET","LAR","43"
"Boldman","9","9","ATL","BAL","JAX","NO","NE","MN","IND","PIT","LAC","DEN","CAR","AZ","TEN","GB","DET","LAR","49"
"Giant Blues","9","9","ATL","BAL","NYG","NO","NE","MN","CIN","PIT","LAC","DEN","CAR","WAS","TEN","GB","DET","OAK","42"
"Coachjoel57","9","9","PHI","BAL","JAX","NO","NE","MN","IND","PIT","LAC","SEA","CAR","AZ","TEN","GB","DET","LAR","42"
"Alec B","9","9","PHI","BAL","NYG","NO","NE","MN","IND","PIT","LAC","SEA","CAR","WAS","TEN","GB","DET","LAR","50"
"howarddmd","9","9","ATL","BAL","JAX","NO","NE","MN","IND","PIT","LAC","DEN","CAR","AZ","TEN","GB","DET","LAR","41"
"Bill's Mafia","9","9","PHI","BUF","NYG","NO","NE","MN","IND","PIT","KC","SEA","CAR","AZ","MIA","GB","DET","LAR","41"
"Saquads Scores!","9","9","ATL","BAL","NYG","NO","NE","MN","IND","PIT","KC","SEA","CAR","WAS","TEN","GB","DET","LAR","39"
"tnrosen","9","9","PHI","BAL","JAX","NO","NE","MN","IND","PIT","KC","SEA","CAR","AZ","TEN","GB","DET","OAK","38"
"Jaddie's Daddy","9","9","ATL","BAL","JAX","NO","NE","MN","IND","PIT","LAC","DEN","CAR","AZ","TEN","GB","DET","LAR","37"
"Go Pats!!!","9","9","PHI","BAL","JAX","NO","NE","MN","IND","PIT","KC","SEA","CAR","AZ","TEN","GB","DET","OAK","30"
"Nugget2018","8","8","PHI","BAL","NYG","NO","NE","MN","IND","PIT","LAC","SEA","CAR","AZ","MIA","GB","DET","OAK","44"
"Lucky Laits","8","8","PHI","BAL","NYG","NO","NE","MN","IND","PIT","KC","SEA","DAL","WAS","TEN","GB","DET","OAK","49"
"TuesdayMorningQB","8","8","ATL","BAL","NYG","NO","NE","MN","IND","PIT","LAC","SEA","CAR","AZ","TEN","GB","NYJ","LAR","42"
"Pioneers85","8","8","ATL","BAL","NYG","NO","HOU","MN","IND","PIT","LAC","DEN","CAR","AZ","MIA","GB","NYJ","OAK","41"
"MSE-PA","8","8","ATL","BAL","JAX","NO","NE","MN","IND","PIT","LAC","SEA","CAR","AZ","TEN","GB","DET","LAR","52"
"Chess Doc","8","8","ATL","BAL","JAX","NO","NE","MN","IND","PIT","KC","SEA","DAL","AZ","TEN","GB","DET","LAR","54"
"Brubabe","8","8","ATL","BUF","JAX","NO","NE","MN","CIN","PIT","LAC","DEN","DAL","AZ","TEN","GB","DET","LAR","30"
"HAPPY NESS","7","7","PHI","BUF","JAX","NO","NE","SF","IND","PIT","LAC","SEA","CAR","AZ","TEN","GB","DET","LAR","50"
"Dental Plan","7","7","ATL","BUF","JAX","NO","NE","MN","IND","PIT","LAC","SEA","CAR","AZ","TEN","GB","DET","LAR","42"
"speedy","7","7","ATL","BAL","NYG","NO","HOU","SF","CIN","PIT","LAC","DEN","CAR","AZ","TEN","GB","DET","LAR","41"
"Mark_W","7","7","PHI","BAL","NYG","NO","NE","SF","IND","PIT","LAC","SEA","DAL","AZ","MIA","GB","DET","LAR","39"
"Dr Blue","7","7","ATL","BAL","NYG","NO","NE","MN","CIN","PIT","LAC","SEA","CAR","AZ","TEN","GB","DET","OAK","53"
"Bag 'n' Shoes","7","7","PHI","BUF","JAX","NO","NE","MN","IND","PIT","LAC","SEA","DAL","WAS","TEN","GB","DET","OAK","37"
"stanley steamer","7","7","ATL","BUF","NYG","NO","NE","MN","CIN","PIT","KC","SEA","DAL","AZ","TEN","GB","NYJ","OAK","28"
"Jerry1229","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0"
