"","Score","Potential ScorePerfect: 14","MIA 23@HOU 42","PHI 24@JAX 18","DEN 23@KC 30","CLE 18@PIT 33","WAS 20@NYG 13","SEA 28@DET 14","TB 34@CIN 37","NYJ 10@CHI 24","BAL 21@CAR 36","IND 42@OAK 28","SF 15@AZ 18","GB 27@LAR 29","NO 30@MN 20","NE 25@BUF 6","Tie BreakerPredictionActual: 31"
"","","click for stats:","","","","","","","","","","","","","","","[?]"
"Sophie's Last Choice","10","10","HOU","PHI","KC","PIT","WAS","SEA","CIN","CHI","BAL","IND","SF","GB","MN","NE","43"
"HAPPY NESS","10","10","HOU","PHI","KC","PIT","WAS","DET","CIN","CHI","BAL","OAK","AZ","LAR","MN","NE","44"
"RichieRich$$","10","10","HOU","PHI","KC","PIT","NYG","DET","CIN","CHI","BAL","IND","SF","LAR","NO","NE","44"
"Perjodi","10","10","HOU","PHI","KC","PIT","NYG","DET","CIN","CHI","BAL","IND","AZ","LAR","MN","NE","45"
"Friedman's Got Talent","10","10","HOU","PHI","KC","PIT","WAS","DET","TB","CHI","CAR","IND","SF","LAR","MN","NE","45"
"HayMadEm","10","10","HOU","PHI","KC","PIT","WAS","DET","CIN","NYJ","BAL","IND","SF","LAR","NO","NE","45"
"Cramer","10","10","HOU","PHI","KC","PIT","NYG","DET","CIN","CHI","CAR","OAK","AZ","LAR","MN","NE","46"
"GKAT28","10","10","HOU","PHI","KC","PIT","WAS","DET","CIN","CHI","BAL","IND","SF","LAR","MN","NE","49"
"Nugget2018","10","10","HOU","PHI","KC","PIT","NYG","SEA","CIN","CHI","BAL","OAK","AZ","GB","NO","NE","49"
"Giant Blues","10","10","-","PHI","KC","PIT","NYG","DET","CIN","CHI","CAR","IND","AZ","LAR","MN","NE","50"
"tonyppt","10","10","HOU","PHI","KC","PIT","WAS","DET","CIN","CHI","BAL","IND","SF","LAR","MN","NE","51"
"Alec B","10","10","HOU","PHI","KC","PIT","NYG","DET","TB","CHI","CAR","IND","AZ","GB","NO","NE","52"
"Bill's Mafia","9","9","HOU","PHI","KC","PIT","WAS","DET","TB","CHI","BAL","OAK","AZ","GB","NO","NE","41"
"Twinkletoes","9","9","HOU","JAX","KC","PIT","NYG","SEA","TB","CHI","CAR","IND","SF","GB","NO","NE","42"
"madbolt","9","9","HOU","PHI","KC","PIT","WAS","DET","TB","CHI","BAL","IND","SF","LAR","MN","NE","42"
"Fire Goodell","9","9","HOU","JAX","KC","PIT","NYG","DET","TB","CHI","CAR","OAK","AZ","LAR","NO","NE","42"
"Kosher Dilly Dilly","9","9","HOU","JAX","KC","PIT","NYG","SEA","CIN","CHI","BAL","IND","SF","LAR","MN","NE","43"
"j3live","9","9","MIA","PHI","KC","PIT","NYG","DET","CIN","CHI","BAL","IND","SF","LAR","NO","NE","45"
"Petvet","9","9","HOU","PHI","KC","PIT","NYG","DET","CIN","CHI","CAR","OAK","SF","LAR","MN","NE","46"
"HEADLY IV","9","9","HOU","JAX","KC","PIT","WAS","DET","CIN","CHI","BAL","OAK","AZ","LAR","MN","NE","47"
"king","9","9","HOU","PHI","KC","PIT","NYG","DET","CIN","CHI","CAR","IND","SF","GB","MN","NE","48"
"POOL MEISTER","9","9","HOU","PHI","KC","PIT","NYG","DET","CIN","CHI","CAR","OAK","SF","LAR","MN","NE","52"
"Brubabe","8","8","MIA","PHI","KC","PIT","WAS","DET","CIN","CHI","BAL","OAK","SF","LAR","MN","NE","44"
"Joe Cell Man","8","8","HOU","PHI","KC","PIT","NYG","DET","CIN","CHI","BAL","OAK","SF","LAR","MN","NE","46"
"Dr Blue","8","8","HOU","PHI","KC","PIT","NYG","DET","CIN","NYJ","BAL","OAK","SF","LAR","NO","NE","47"
"They Might Be Giants!","8","8","HOU","JAX","KC","PIT","NYG","DET","CIN","CHI","BAL","IND","SF","GB","NO","NE","47"
"Lucky Laits","8","8","HOU","PHI","DEN","PIT","NYG","DET","CIN","NYJ","BAL","IND","SF","LAR","NO","NE","50"
"Mark_W","7","7","-","PHI","KC","PIT","NYG","SEA","TB","CHI","CAR","OAK","SF","GB","MN","NE","43"
"Maven","7","7","MIA","PHI","KC","PIT","NYG","DET","TB","CHI","BAL","OAK","SF","LAR","NO","NE","45"
"El Presidente","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0"
