"","Score","Potential ScorePerfect: 16","NO 10@DAL 13","CHI 27@NYG 30","BUF 17@MIA 21","DEN 24@CIN 10","LAR 30@DET 16","BAL 26@ATL 16","IND 0@JAX 6","CLE 13@HOU 29","AZ 20@GB 17","CAR 17@TB 24","KC 40@OAK 33","NYJ 22@TEN 26","MN 10@NE 24","SF 16@SEA 43","LAC 33@PIT 30","WAS 13@PHI 28","Tie BreakerPredictionActual: 41"
"","","click for stats:","","","","","","","","","","","","","","","","","[?]"
"Perjodi","8","8","NO","CHI","BUF","DEN","LAR","ATL","IND","HOU","GB","CAR","KC","TEN","NE","SEA","PIT","PHI","44"
"HEADLY IV","8","8","DAL","CHI","MIA","DEN","LAR","ATL","IND","HOU","GB","CAR","KC","TEN","MN","SEA","PIT","WAS","44"
"Mega Movis Men","8","8","NO","CHI","BUF","DEN","DET","BAL","JAX","CLE","GB","TB","KC","TEN","MN","SEA","PIT","PHI","45"
"Jay's Gramps","8","8","NO","CHI","BUF","DEN","LAR","BAL","IND","CLE","GB","CAR","KC","TEN","MN","SEA","LAC","PHI","46"
"Teddy","8","8","NO","CHI","BUF","DEN","LAR","ATL","IND","HOU","GB","CAR","KC","TEN","NE","SEA","PIT","PHI","34"
"coach1","8","8","NO","CHI","MIA","DEN","LAR","ATL","IND","HOU","GB","CAR","KC","TEN","MN","SEA","PIT","PHI","48"
"Chess Doc","8","8","-","CHI","MIA","CIN","LAR","ATL","IND","HOU","GB","CAR","KC","TEN","NE","SEA","LAC","WAS","48"
"Bag 'n' Shoes","8","8","NO","CHI","BUF","DEN","LAR","ATL","JAX","HOU","GB","CAR","KC","TEN","NE","SEA","PIT","WAS","54"
"The Real Slim Brady","8","8","NO","CHI","MIA","CIN","LAR","ATL","IND","HOU","GB","CAR","KC","TEN","NE","SEA","PIT","PHI","0"
"Bill's Mafia","7","7","NO","CHI","MIA","CIN","LAR","ATL","JAX","HOU","GB","CAR","KC","NYJ","MN","SEA","LAC","WAS","41"
"Twinkletoes","7","7","NO","CHI","BUF","DEN","LAR","ATL","IND","CLE","GB","CAR","KC","TEN","NE","SEA","PIT","PHI","40"
"Friedman's Got Talent","7","7","NO","CHI","BUF","DEN","LAR","ATL","IND","HOU","GB","CAR","KC","TEN","NE","SEA","PIT","WAS","43"
"Team Rovner","7","7","NO","CHI","MIA","CIN","LAR","ATL","IND","CLE","GB","CAR","KC","TEN","NE","SEA","PIT","PHI","44"
"Saquads Scores!","7","7","NO","CHI","BUF","DEN","LAR","ATL","IND","HOU","GB","CAR","KC","NYJ","NE","SEA","PIT","PHI","44"
"Kosher Dilly Dilly","7","7","NO","NYG","MIA","CIN","LAR","ATL","IND","CLE","GB","CAR","KC","TEN","MN","SEA","LAC","WAS","46"
"stanley steamer","7","7","NO","CHI","BUF","CIN","LAR","ATL","IND","HOU","GB","CAR","KC","TEN","NE","SEA","LAC","WAS","56"
"Jack","6","6","NO","CHI","BUF","DEN","LAR","ATL","IND","HOU","GB","CAR","KC","NYJ","MN","SEA","PIT","PHI","45"
"j3live","6","6","NO","CHI","MIA","CIN","LAR","ATL","IND","HOU","GB","CAR","KC","NYJ","MN","SF","LAC","PHI","49"
