"","Score","Potential ScorePerfect: 16","JAX 9@TEN 30","NYJ 27@BUF 23","NYG 40@WAS 16","NO 28@TB 14","NE 33@MIA 34","BAL 24@KC 27","IND 24@HOU 21","CAR 20@CLE 26","ATL 20@GB 34","DEN 14@SF 20","CIN 21@LAC 26","PHI 23@DAL 29","DET 17@AZ 3","PIT 21@OAK 24","LAR 6@CHI 15","MN 7@SEA 21","Tie BreakerPredictionActual: 28"
"","","click for stats:","","","","","","","","","","","","","","","","","[?]"
"madbolt","9","9","TEN","BUF","NYG","NO","NE","KC","HOU","CLE","GB","DEN","LAC","DAL","AZ","PIT","LAR","SEA","48"
"Davs3b","9","9","TEN","BUF","NYG","NO","NE","KC","HOU","CLE","GB","DEN","LAC","PHI","DET","PIT","LAR","SEA","48"
"Jay's Gramps","9","9","TEN","BUF","NYG","NO","NE","KC","HOU","CLE","ATL","DEN","LAC","DAL","DET","PIT","LAR","SEA","48"
"tonyppt","9","9","TEN","BUF","NYG","NO","NE","KC","HOU","CLE","GB","DEN","LAC","DAL","AZ","PIT","LAR","SEA","48"
"Dr Blue","9","9","JAX","BUF","NYG","NO","MIA","KC","HOU","CLE","GB","DEN","LAC","PHI","AZ","PIT","CHI","SEA","49"
"Eggman","9","9","TEN","BUF","NYG","NO","NE","KC","HOU","CAR","GB","DEN","LAC","DAL","DET","PIT","LAR","SEA","51"
"GEO DOG","9","9","TEN","BUF","NYG","NO","NE","KC","HOU","CLE","GB","DEN","LAC","PHI","DET","PIT","LAR","SEA","51"
"MSE-PA","9","9","TEN","BUF","NYG","NO","NE","KC","HOU","CAR","GB","DEN","LAC","DAL","DET","PIT","LAR","SEA","52"
"sdtrading","9","9","TEN","BUF","NYG","NO","NE","KC","HOU","CLE","GB","DEN","LAC","DAL","AZ","PIT","LAR","SEA","52"
"The Real Slim Brady","9","9","TEN","NYJ","NYG","NO","NE","KC","HOU","CAR","GB","DEN","LAC","DAL","DET","PIT","LAR","MN","0"
"Jaddie's Daddy","9","9","TEN","BUF","NYG","NO","NE","KC","HOU","CAR","GB","SF","LAC","DAL","AZ","PIT","LAR","SEA","65"
"They Might Be Giants!","8","8","JAX","BUF","NYG","NO","NE","KC","HOU","CLE","GB","DEN","LAC","PHI","DET","PIT","LAR","SEA","35"
"Digital Jim","8","8","TEN","NYJ","WAS","NO","NE","KC","HOU","CAR","ATL","DEN","LAC","DAL","DET","PIT","LAR","SEA","35"
"Jeff Rosenthal","8","8","-","NYJ","NYG","NO","NE","KC","HOU","CAR","GB","DEN","LAC","PHI","DET","PIT","LAR","SEA","35"
"Go Pats!!!","8","8","TEN","BUF","NYG","NO","NE","KC","HOU","CAR","GB","DEN","LAC","PHI","DET","PIT","LAR","SEA","36"
"speedy","8","8","TEN","BUF","NYG","NO","NE","KC","HOU","CAR","GB","DEN","LAC","DAL","AZ","PIT","LAR","SEA","40"
"West Coast Eagles Fan","8","8","TEN","BUF","NYG","NO","NE","KC","IND","CAR","GB","DEN","LAC","PHI","AZ","PIT","LAR","SEA","42"
"Mega Movis Men","8","8","TEN","BUF","NYG","NO","NE","KC","HOU","CAR","GB","DEN","LAC","PHI","DET","PIT","CHI","MN","43"
"Mark_W","8","8","TEN","NYJ","NYG","NO","NE","KC","IND","CAR","GB","DEN","LAC","PHI","AZ","PIT","LAR","MN","43"
"JustMonkeyinAround","8","8","TEN","BUF","NYG","NO","NE","KC","HOU","CLE","GB","DEN","LAC","PHI","DET","PIT","LAR","MN","45"
"coach1","8","8","TEN","BUF","NYG","NO","NE","BAL","HOU","CAR","GB","DEN","LAC","DAL","DET","PIT","LAR","SEA","45"
"HayMadEm","8","8","TEN","BUF","NYG","NO","NE","KC","HOU","CAR","GB","DEN","LAC","DAL","AZ","PIT","LAR","SEA","45"
"Joe Cell Man","8","8","TEN","BUF","NYG","NO","NE","KC","HOU","CAR","GB","DEN","LAC","PHI","DET","PIT","LAR","SEA","46"
"HAPPY NESS","8","8","JAX","NYJ","WAS","NO","NE","KC","HOU","CLE","GB","DEN","LAC","PHI","DET","PIT","LAR","SEA","46"
"West Coast Best Coast","8","8","TEN","BUF","NYG","NO","NE","KC","HOU","CAR","ATL","DEN","LAC","DAL","DET","PIT","LAR","SEA","47"
"Z-Man","8","8","TEN","BUF","WAS","NO","NE","KC","HOU","CLE","GB","DEN","LAC","DAL","AZ","PIT","LAR","SEA","48"
"HEADLY IV","8","8","TEN","BUF","NYG","NO","NE","KC","HOU","CAR","GB","DEN","LAC","DAL","DET","PIT","LAR","MN","48"
"Friedman's Got Talent","8","8","TEN","BUF","NYG","NO","NE","KC","HOU","CAR","ATL","SF","LAC","PHI","DET","PIT","LAR","SEA","49"
"TShelly","8","8","JAX","BUF","NYG","NO","NE","KC","HOU","CLE","GB","DEN","LAC","DAL","AZ","PIT","LAR","SEA","49"
"Coachjoel57","8","8","TEN","BUF","NYG","NO","NE","KC","HOU","CLE","GB","DEN","LAC","PHI","AZ","PIT","LAR","SEA","51"
"Bag 'n' Shoes","8","8","TEN","BUF","NYG","NO","NE","KC","HOU","CLE","ATL","DEN","CIN","DAL","DET","PIT","LAR","SEA","52"
"Cold Steel","8","8","JAX","BUF","NYG","NO","NE","BAL","HOU","CLE","GB","DEN","LAC","DAL","AZ","PIT","CHI","SEA","52"
"TuesdayMorningQB","8","8","TEN","BUF","NYG","NO","NE","KC","HOU","CAR","GB","DEN","LAC","DAL","AZ","PIT","LAR","SEA","58"
"Slugger53","8","8","JAX","BUF","NYG","NO","NE","KC","HOU","CAR","GB","DEN","LAC","PHI","DET","PIT","CHI","SEA","58"
"Art","7","7","TEN","BUF","WAS","NO","NE","KC","HOU","CAR","GB","DEN","LAC","PHI","DET","PIT","LAR","SEA","36"
"GKAT28","7","7","TEN","BUF","NYG","NO","NE","BAL","HOU","CAR","GB","DEN","LAC","DAL","AZ","PIT","LAR","SEA","40"
"howarddmd","7","7","TEN","BUF","NYG","NO","NE","KC","HOU","CAR","ATL","DEN","LAC","DAL","AZ","PIT","LAR","SEA","41"
"JMenacker","7","7","TEN","BUF","WAS","NO","NE","KC","HOU","CAR","GB","DEN","LAC","PHI","DET","PIT","LAR","SEA","42"
"Nugget2018","7","7","TEN","BUF","NYG","NO","NE","KC","HOU","CAR","GB","DEN","LAC","PHI","AZ","PIT","LAR","SEA","43"
"Team Rovner","7","7","JAX","BUF","NYG","NO","NE","KC","HOU","CAR","GB","DEN","LAC","PHI","DET","PIT","LAR","SEA","44"
"Jack","7","7","TEN","BUF","NYG","NO","NE","KC","HOU","CAR","GB","DEN","LAC","PHI","AZ","PIT","LAR","SEA","44"
"BADBOYBILLY","7","7","TEN","BUF","NYG","NO","NE","KC","HOU","CAR","GB","DEN","LAC","PHI","AZ","PIT","LAR","SEA","44"
"tnrosen","7","7","JAX","NYJ","NYG","NO","NE","KC","HOU","CAR","GB","DEN","LAC","PHI","AZ","PIT","LAR","SEA","44"
"Keith Swet Tailor","7","7","TEN","BUF","NYG","NO","NE","KC","HOU","CAR","GB","DEN","LAC","PHI","AZ","PIT","LAR","SEA","45"
"jtyler15","7","7","TEN","BUF","NYG","NO","NE","KC","HOU","CAR","GB","DEN","LAC","PHI","DET","PIT","LAR","MN","46"
"Cramer","7","7","TEN","BUF","NYG","NO","NE","KC","HOU","CAR","GB","DEN","LAC","PHI","AZ","PIT","LAR","SEA","49"
"j3live","7","7","TEN","BUF","NYG","NO","NE","KC","HOU","CAR","ATL","DEN","LAC","PHI","DET","PIT","LAR","SEA","49"
"Jerry1229","7","7","JAX","BUF","NYG","NO","NE","KC","HOU","CAR","GB","DEN","LAC","DAL","AZ","PIT","LAR","SEA","49"
"POOL MEISTER","7","7","TEN","BUF","NYG","NO","NE","KC","HOU","CLE","ATL","DEN","LAC","PHI","DET","PIT","LAR","MN","50"
"cammax716","7","7","JAX","BUF","NYG","NO","NE","KC","IND","CAR","GB","DEN","LAC","PHI","AZ","PIT","LAR","SEA","51"
"RichieRich$$","7","7","TEN","BUF","WAS","NO","NE","KC","HOU","CLE","GB","DEN","LAC","PHI","AZ","PIT","LAR","SEA","54"
"stanley steamer","7","7","TEN","BUF","WAS","NO","NE","KC","HOU","CAR","ATL","DEN","LAC","DAL","DET","PIT","LAR","SEA","56"
"Alec B","7","7","JAX","BUF","NYG","NO","NE","KC","HOU","CAR","GB","DEN","LAC","PHI","DET","PIT","LAR","SEA","57"
"Torch","6","6","TEN","BUF","WAS","NO","NE","KC","HOU","CAR","GB","DEN","LAC","PHI","DET","PIT","LAR","MN","46"
"Dorf","6","6","TEN","BUF","WAS","NO","NE","KC","HOU","CAR","GB","DEN","LAC","PHI","DET","PIT","LAR","MN","48"
"Sophie's Last Choice","5","5","TEN","BUF","WAS","NO","NE","KC","HOU","CAR","ATL","DEN","LAC","PHI","DET","PIT","LAR","MN","57"
"El Presidente","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0"
