"","Score","Potential ScorePerfect: 16","LAC 29@KC 28","HOU 29@NYJ 22","CLE 17@DEN 16","GB 17@CHI 24","DET 13@BUF 14","TB 12@BAL 20","AZ 14@ATL 40","OAK 16@CIN 30","TEN 17@NYG 0","MIA 17@MN 41","WAS 16@JAX 13","DAL 0@IND 23","SEA 23@SF 26","NE 10@PIT 17","PHI 30@LAR 23","NO 12@CAR 9","Tie BreakerPredictionActual: 21"
"","","click for stats:","","","","","","","","","","","","","","","","","[?]"
"Sparky","8","8","KC","HOU","CLE","CHI","DET","BAL","ATL","CIN","NYG","MN","JAX","DAL","SEA","NE","LAR","NO","42"
"Fire Goodell","8","8","KC","HOU","CLE","CHI","BUF","TB","ATL","CIN","NYG","MN","JAX","DAL","SEA","NE","LAR","NO","42"
"HayMadEm","8","8","KC","HOU","DEN","GB","BUF","BAL","ATL","OAK","TEN","MN","JAX","DAL","SEA","PIT","LAR","NO","45"
"Digital Jim","8","8","KC","HOU","DEN","GB","BUF","BAL","ATL","CIN","TEN","MIA","JAX","DAL","SEA","PIT","LAR","NO","45"
"howarddmd","8","8","KC","HOU","DEN","CHI","BUF","BAL","ATL","CIN","NYG","MN","JAX","IND","SEA","NE","LAR","CAR","48"
"Used to be BristolDr","8","8","KC","HOU","DEN","CHI","BUF","BAL","ATL","OAK","NYG","MN","JAX","DAL","SEA","PIT","LAR","NO","48"
"Pioneers85","8","8","KC","NYJ","DEN","CHI","BUF","BAL","ATL","OAK","NYG","MN","JAX","IND","SEA","PIT","LAR","NO","49"
"Z-Man","8","8","KC","HOU","DEN","CHI","DET","BAL","ATL","CIN","NYG","MN","WAS","DAL","SEA","NE","LAR","NO","51"
"Chess Doc","8","8","KC","HOU","DEN","GB","DET","BAL","ATL","CIN","TEN","MN","WAS","DAL","SEA","NE","LAR","NO","51"
"Dental Plan","8","8","KC","HOU","CLE","CHI","DET","BAL","ATL","CIN","NYG","MN","JAX","DAL","SEA","NE","LAR","NO","51"
"TuesdayMorningQB","8","8","KC","HOU","CLE","CHI","BUF","BAL","ATL","OAK","NYG","MN","JAX","DAL","SEA","NE","LAR","NO","52"
"JustMonkeyinAround","8","8","KC","HOU","CLE","CHI","DET","BAL","ATL","CIN","TEN","MIA","JAX","DAL","SEA","NE","LAR","NO","52"
"Fein Men","8","8","KC","HOU","DEN","CHI","BUF","BAL","ATL","CIN","NYG","MN","JAX","DAL","SEA","NE","LAR","NO","52"
"Bag 'n' Shoes","8","8","KC","HOU","DEN","CHI","DET","BAL","ATL","CIN","NYG","MN","JAX","IND","SEA","NE","LAR","NO","53"
"West Coast Best Coast","8","8","KC","HOU","CLE","CHI","DET","BAL","ATL","OAK","NYG","MN","JAX","DAL","SEA","PIT","LAR","NO","54"
"Perjodi","8","8","KC","HOU","DEN","CHI","DET","BAL","ATL","CIN","NYG","MN","JAX","IND","SEA","NE","LAR","NO","54"
"HAPPY NESS","8","8","KC","HOU","DEN","CHI","DET","BAL","ATL","CIN","NYG","MN","JAX","IND","SEA","NE","LAR","NO","54"
"Joe Cell Man","8","8","KC","HOU","DEN","CHI","DET","BAL","ATL","OAK","TEN","MN","JAX","IND","SEA","NE","LAR","NO","55"
"They Might Be Giants!","8","8","KC","HOU","DEN","CHI","DET","TB","ATL","CIN","NYG","MIA","JAX","IND","SF","PIT","LAR","NO","59"
"Boldman","8","8","KC","-","-","CHI","BUF","BAL","ATL","OAK","NYG","MN","JAX","IND","SEA","PIT","LAR","NO","60"
"Mark_W","7","7","KC","NYJ","DEN","CHI","DET","TB","ATL","CIN","NYG","MN","JAX","IND","SEA","-","PHI","NO","43"
"tnrosen","7","7","KC","HOU","DEN","CHI","DET","BAL","ATL","CIN","NYG","MN","JAX","DAL","SEA","NE","LAR","NO","44"
