"","Score","Potential ScorePerfect: 16","IND 16@BAL 23","MN 16@GB 0","TB 19@CAR 22","CLE 3@CHI 20","DET 17@CIN 26","MIA 13@KC 29","BUF 16@NE 37","ATL 13@NO 23","LAC 14@NYJ 7","LAR 27@TEN 23","DEN 11@WAS 27","JAX 33@SF 44","NYG 0@AZ 23","SEA 21@DAL 12","PIT 34@HOU 6","OAK 10@PHI 19","Tie BreakerPredictionActual: 29"
"","","click for stats:","","","","","","","","","","","","","","","","","[?]"
"margate kid","12","12","BAL","MN","CAR","CLE","DET","KC","NE","NO","LAC","LAR","WAS","JAX","AZ","DAL","PIT","PHI","48"
"Marc Cramer","12","12","BAL","GB","CAR","CHI","CIN","KC","NE","NO","NYJ","TEN","WAS","SF","AZ","DAL","PIT","PHI","49"
"Alta Kickers","12","12","BAL","MN","CAR","CHI","DET","KC","NE","ATL","LAC","LAR","WAS","JAX","NYG","SEA","PIT","PHI","51"
"JMenacker","12","12","BAL","MN","CAR","CHI","DET","KC","NE","NO","LAC","LAR","WAS","JAX","NYG","DAL","PIT","PHI","52"
"Big Blue 14","12","12","BAL","MN","CAR","CHI","DET","MIA","NE","NO","LAC","LAR","WAS","JAX","AZ","DAL","PIT","PHI","52"
"davs3b","12","12","BAL","MN","CAR","CHI","DET","KC","NE","NO","LAC","LAR","WAS","JAX","NYG","DAL","PIT","PHI","52"
"Balls Deep","12","12","BAL","MN","CAR","CHI","DET","KC","NE","NO","LAC","LAR","WAS","JAX","NYG","DAL","PIT","PHI","53"
"jayandhisbubbe","12","12","BAL","MN","CAR","CHI","DET","KC","NE","NO","NYJ","LAR","WAS","JAX","AZ","DAL","PIT","PHI","54"
"Cold Steel","12","12","BAL","MN","CAR","CHI","DET","KC","NE","NO","LAC","LAR","DEN","JAX","AZ","DAL","PIT","PHI","54"
"Eggman366","12","12","BAL","MN","CAR","CHI","DET","KC","NE","NO","LAC","LAR","WAS","JAX","NYG","DAL","PIT","PHI","57"
"Agent of S.H.E.L.A.","11","11","BAL","MN","CAR","CHI","DET","KC","NE","NO","LAC","LAR","WAS","JAX","AZ","DAL","HOU","OAK","40"
"Dr. Blue","11","11","BAL","GB","CAR","CLE","CIN","KC","NE","NO","NYJ","LAR","WAS","SF","NYG","DAL","PIT","PHI","43"
"tonyppt","11","11","BAL","MN","CAR","CHI","DET","KC","NE","NO","LAC","LAR","DEN","JAX","NYG","DAL","PIT","PHI","45"
"TShelly","11","11","BAL","GB","CAR","CHI","DET","KC","NE","NO","LAC","LAR","WAS","JAX","NYG","DAL","PIT","PHI","48"
"Mediocre Superiority","11","11","BAL","MN","CAR","CHI","DET","KC","NE","NO","LAC","LAR","WAS","JAX","AZ","DAL","HOU","OAK","48"
"madbolt","11","11","BAL","MN","CAR","CLE","DET","KC","NE","NO","NYJ","LAR","DEN","SF","AZ","DAL","PIT","PHI","51"
"The System","11","11","BAL","MN","CAR","CHI","DET","KC","NE","ATL","LAC","LAR","WAS","SF","NYG","SEA","HOU","OAK","51"
"Geve and Steve","11","11","BAL","MN","CAR","CHI","DET","KC","NE","ATL","LAC","LAR","DEN","JAX","AZ","DAL","PIT","PHI","52"
"Benny","11","11","BAL","MN","CAR","CHI","DET","KC","NE","NO","NYJ","LAR","WAS","JAX","NYG","DAL","PIT","PHI","57"
"NadavSchwartz","11","11","BAL","GB","CAR","CHI","DET","KC","BUF","NO","LAC","LAR","WAS","JAX","NYG","SEA","PIT","PHI","59"
"Bag 'n' Shoes","10","10","BAL","MN","CAR","CHI","DET","KC","NE","ATL","LAC","TEN","DEN","JAX","AZ","DAL","PIT","PHI","38"
"maldo","10","10","IND","MN","CAR","CHI","DET","KC","NE","ATL","LAC","LAR","DEN","JAX","AZ","DAL","PIT","PHI","40"
"m_weinstein","10","10","BAL","GB","CAR","CHI","DET","KC","NE","ATL","LAC","TEN","WAS","JAX","AZ","DAL","PIT","PHI","43"
"Used to be BristolDr","10","10","BAL","GB","CAR","CHI","DET","KC","NE","NO","NYJ","LAR","WAS","JAX","NYG","DAL","PIT","PHI","45"
"Keith Sweat Tailor","10","10","-","-","CAR","CLE","DET","KC","NE","ATL","LAC","TEN","WAS","SF","AZ","SEA","PIT","PHI","45"
"speedy","10","10","BAL","MN","CAR","CHI","DET","KC","NE","NO","LAC","LAR","DEN","JAX","AZ","DAL","HOU","OAK","48"
"Pioneers85","10","10","BAL","MN","CAR","CHI","DET","KC","BUF","ATL","LAC","LAR","WAS","JAX","NYG","DAL","PIT","PHI","49"
"The Pickmaster","10","10","BAL","MN","CAR","CLE","DET","KC","NE","NO","LAC","TEN","DEN","JAX","AZ","DAL","PIT","PHI","51"
"Boldman","10","10","BAL","MN","CAR","CHI","DET","KC","NE","NO","LAC","LAR","WAS","JAX","NYG","DAL","HOU","OAK","52"
"Fire Goodell","6","6","-","MN","TB","CHI","DET","MIA","NE","ATL","NYJ","LAR","WAS","JAX","AZ","DAL","HOU","OAK","31"
"They Might Be Giants","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0"
"mteitelman","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0"
"mikemarkowitz","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0"
