"","Score","Potential ScorePerfect: 16","HOU 13@CIN 9","CLE 10@BAL 24","BUF 3@CAR 9","AZ 16@IND 13","TEN 37@JAX 16","PHI 20@KC 27","NE 36@NO 20","MN 9@PIT 26","CHI 7@TB 29","MIA 19@LAC 17","NYJ 20@OAK 45","WAS 27@LAR 20","SF 9@SEA 12","DAL 17@DEN 42","GB 23@ATL 34","DET 24@NYG 10","Tie BreakerPredictionActual: 34"
"","","click for stats:","","","","","","","","","","","","","","","","","[?]"
"West Coast Best Coast","11","11","CIN","BAL","CAR","IND","JAX","KC","NE","PIT","TB","MIA","OAK","LAR","SEA","DEN","ATL","NYG","53"
"GEO DOG","11","11","CIN","BAL","CAR","AZ","TEN","PHI","NE","PIT","TB","LAC","OAK","LAR","SEA","DEN","GB","DET","54"
"Fire Goodell","11","11","HOU","BAL","CAR","AZ","JAX","KC","NE","PIT","TB","LAC","OAK","WAS","SEA","DAL","GB","NYG","69"
"Sparky","10","10","CIN","BAL","CAR","AZ","JAX","KC","NE","PIT","TB","LAC","OAK","LAR","SEA","DAL","ATL","NYG","36"
"Dorf","10","10","HOU","BAL","CAR","AZ","JAX","KC","NE","PIT","TB","LAC","OAK","LAR","SEA","DAL","GB","NYG","36"
"Just Monkeyin' Around","10","10","HOU","BAL","CAR","AZ","TEN","PHI","NE","PIT","TB","LAC","NYJ","LAR","SEA","DAL","GB","DET","31"
"GKAT","10","10","CIN","BAL","CAR","AZ","TEN","KC","NE","MN","TB","LAC","OAK","LAR","SEA","DEN","GB","NYG","38"
"Petvet","10","10","CIN","BAL","CAR","AZ","TEN","KC","NE","PIT","TB","LAC","OAK","LAR","SEA","DAL","GB","NYG","40"
"TShelly","10","10","CIN","BAL","CAR","AZ","JAX","PHI","NE","PIT","TB","LAC","OAK","LAR","SEA","DEN","ATL","NYG","40"
"mmillson","10","10","HOU","BAL","CAR","IND","JAX","PHI","NE","PIT","TB","MIA","OAK","LAR","SEA","DAL","ATL","NYG","40"
"jtyler15","10","10","HOU","BAL","BUF","AZ","TEN","PHI","NE","PIT","TB","LAC","OAK","LAR","SEA","DAL","ATL","NYG","41"
"maldo","10","10","HOU","BAL","CAR","AZ","JAX","KC","NE","PIT","CHI","LAC","OAK","LAR","SEA","DAL","ATL","NYG","41"
"HayMadEm","10","10","HOU","BAL","CAR","AZ","JAX","PHI","NE","MN","TB","LAC","OAK","LAR","SEA","DEN","GB","DET","42"
"HAPPYNESS","10","10","CIN","BAL","CAR","AZ","TEN","PHI","NE","PIT","TB","LAC","OAK","LAR","SEA","DAL","ATL","NYG","43"
"Perjodi","10","10","CIN","BAL","CAR","AZ","TEN","PHI","NE","PIT","TB","LAC","OAK","LAR","SEA","DEN","GB","NYG","43"
"Neal Scott","10","10","CIN","BAL","CAR","AZ","TEN","KC","NE","PIT","TB","LAC","OAK","LAR","SEA","DAL","GB","NYG","44"
"davs3b","10","10","CIN","BAL","CAR","AZ","JAX","PHI","NE","PIT","TB","LAC","OAK","LAR","SEA","DEN","GB","DET","44"
"NadavSchwartz","10","10","CIN","BAL","CAR","AZ","JAX","KC","NO","PIT","CHI","LAC","OAK","WAS","SEA","DEN","GB","DET","46"
"Torch","10","10","CIN","BAL","CAR","AZ","JAX","KC","NE","PIT","TB","LAC","OAK","WAS","SEA","DAL","GB","NYG","47"
"Slugger53","10","10","CIN","BAL","CAR","AZ","JAX","PHI","NE","PIT","TB","LAC","OAK","LAR","SEA","DEN","GB","DET","50"
"Howie's Hotdogs","10","10","CIN","BAL","CAR","AZ","JAX","PHI","NE","PIT","TB","LAC","OAK","LAR","SEA","DEN","GB","DET","52"
"Bag 'n' Shoes","9","9","CIN","BAL","BUF","IND","TEN","KC","NE","PIT","CHI","MIA","OAK","WAS","SEA","DAL","GB","NYG","37"
"Geve and Steve","9","9","CIN","BAL","CAR","AZ","JAX","KC","NE","PIT","TB","LAC","OAK","LAR","SEA","DAL","GB","NYG","43"
"Marc Cramer","9","9","CIN","BAL","CAR","IND","JAX","PHI","NE","PIT","TB","LAC","OAK","LAR","SEA","DEN","ATL","NYG","46"
"CoachJoel57","9","9","CIN","BAL","CAR","AZ","JAX","KC","NE","PIT","CHI","LAC","OAK","LAR","SEA","DAL","ATL","NYG","55"
"m_weinstein","8","8","CIN","BAL","CAR","AZ","JAX","PHI","NE","PIT","TB","LAC","OAK","LAR","SEA","DAL","GB","NYG","43"
"Chessdoc","8","8","CIN","BAL","CAR","AZ","JAX","KC","NE","PIT","CHI","LAC","NYJ","LAR","SEA","DAL","GB","DET","48"
"Agent of S.H.E.L.A.","7","7","CIN","BAL","CAR","IND","TEN","PHI","NO","PIT","TB","LAC","OAK","LAR","SEA","DAL","GB","NYG","40"
"Eggman366","4","4","CIN","BAL","CAR","-","-","-","-","-","-","LAC","OAK","LAR","SEA","DAL","GB","NYG","42"
