"","Score","Potential ScorePerfect: 15","KC 30@OAK 31","TB 27@BUF 30","CAR 3@CHI 17","TEN 12@CLE 9","NO 26@GB 17","JAX 27@IND 0","AZ 0@LAR 33","NYJ 28@MIA 31","BAL 16@MN 24","DAL 40@SF 10","CIN 14@PIT 29","DEN 0@LAC 21","SEA 24@NYG 7","ATL 7@NE 23","WAS 24@PHI 34","Tie BreakerPredictionActual: 58"
"","","click for stats:","","","","","","","","","","","","","","","","[?]"
"It's Wentz Time","11","11","KC","BUF","CAR","TEN","NO","JAX","LAR","MIA","MN","DAL","PIT","DEN","SEA","ATL","PHI","54"
"madbolt","11","11","KC","BUF","CAR","TEN","GB","JAX","LAR","MIA","MN","DAL","PIT","LAC","SEA","ATL","PHI","52"
"West Coast Best Coast","11","11","OAK","BUF","CAR","TEN","GB","JAX","LAR","NYJ","MN","DAL","PIT","DEN","SEA","NE","PHI","51"
"jtyler15","11","11","KC","TB","CAR","TEN","NO","JAX","LAR","NYJ","MN","DAL","PIT","LAC","SEA","NE","PHI","51"
"Phillycheese","11","11","KC","BUF","CAR","TEN","NO","JAX","LAR","NYJ","MN","DAL","PIT","DEN","SEA","NE","PHI","51"
"sdtrading","11","11","KC","BUF","CAR","TEN","NO","JAX","AZ","MIA","MN","DAL","PIT","LAC","SEA","ATL","PHI","51"
"Perjodi","11","11","KC","BUF","CAR","TEN","NO","JAX","AZ","MIA","MN","DAL","PIT","DEN","SEA","NE","PHI","49"
"Eggman","11","11","KC","BUF","CAR","TEN","NO","IND","LAR","MIA","MN","DAL","PIT","LAC","SEA","ATL","PHI","49"
"Borofskys","11","11","KC","TB","CAR","TEN","NO","JAX","LAR","MIA","MN","DAL","PIT","DEN","SEA","NE","PHI","48"
"Jaddie's Daddy","11","11","OAK","BUF","CAR","TEN","NO","IND","AZ","MIA","BAL","DAL","PIT","LAC","SEA","NE","PHI","48"
"Keith Sweat Tailor","11","11","OAK","BUF","CAR","TEN","NO","IND","AZ","MIA","MN","DAL","PIT","LAC","SEA","NE","WAS","48"
"Jay and Sammy's Gramps","11","11","KC","BUF","CAR","TEN","NO","JAX","LAR","MIA","MN","DAL","PIT","DEN","SEA","ATL","PHI","47"
"cammax716","11","11","KC","BUF","CAR","TEN","GB","JAX","LAR","MIA","MN","DAL","PIT","DEN","SEA","NE","PHI","46"
"Abos","11","11","KC","BUF","CAR","TEN","NO","JAX","LAR","MIA","MN","DAL","PIT","DEN","SEA","NE","WAS","45"
"Jack Korbutov","11","11","KC","BUF","CAR","TEN","NO","JAX","AZ","MIA","MN","DAL","PIT","DEN","SEA","NE","PHI","44"
"Bag 'n' Shoes","11","11","OAK","TB","CAR","TEN","NO","JAX","LAR","NYJ","MN","DAL","PIT","DEN","SEA","NE","PHI","44"
"Used to be BristolDr","11","11","KC","BUF","CAR","TEN","NO","JAX","LAR","NYJ","MN","DAL","PIT","LAC","NYG","NE","PHI","44"
"GmenBlues","11","11","KC","BUF","CAR","TEN","NO","JAX","LAR","MIA","MN","DAL","PIT","DEN","NYG","NE","PHI","42"
