"","Score","Potential ScorePerfect: 16","CHI 14@GB 35","NO 20@MIA 0","BUF 23@ATL 17","PIT 26@BAL 9","CIN 31@CLE 7","LAR 35@DAL 30","TEN 14@HOU 57","DET 14@MN 7","CAR 33@NE 30","JAX 20@NYJ 23","SF 15@AZ 18","PHI 26@LAC 24","NYG 23@TB 25","OAK 10@DEN 16","IND 18@SEA 46","WAS 20@KC 29","Tie BreakerPredictionActual: 49"
"","","click for stats:","","","","","","","","","","","","","","","","","[?]"
"Jack Korbutov","9","9","GB","MIA","ATL","PIT","CLE","DAL","TEN","DET","NE","JAX","AZ","PHI","TB","DEN","SEA","KC","44"
"Neal Scott","9","9","GB","MIA","ATL","PIT","CIN","DAL","TEN","DET","NE","JAX","AZ","PHI","NYG","DEN","SEA","KC","44"
"GmenBlues","9","9","GB","NO","ATL","PIT","CIN","DAL","HOU","MN","NE","JAX","AZ","LAC","NYG","DEN","SEA","KC","44"
"barry from miami","9","9","GB","NO","ATL","PIT","CIN","DAL","TEN","MN","NE","JAX","AZ","LAC","TB","DEN","SEA","KC","54"
"Feins","9","9","GB","NO","ATL","PIT","CIN","DAL","HOU","MN","NE","JAX","AZ","LAC","TB","OAK","SEA","KC","44"
"Eggman366","9","9","-","NO","ATL","PIT","CLE","DAL","TEN","DET","NE","JAX","AZ","PHI","TB","DEN","SEA","KC","44"
"Abos","9","9","GB","NO","ATL","PIT","CIN","DAL","TEN","MN","NE","JAX","AZ","LAC","TB","DEN","SEA","KC","42"
"HayMadEm","9","9","GB","MIA","ATL","PIT","CIN","DAL","HOU","MN","NE","JAX","AZ","PHI","NYG","DEN","SEA","KC","42"
"Philly Clete","9","9","GB","NO","ATL","PIT","CIN","DAL","TEN","MN","NE","JAX","SF","PHI","TB","DEN","SEA","KC","59"
"mmillson","9","9","GB","MIA","ATL","PIT","CLE","DAL","HOU","DET","NE","JAX","AZ","PHI","NYG","DEN","SEA","KC","39"
"TShelly","9","9","GB","NO","ATL","PIT","CIN","DAL","TEN","DET","NE","JAX","AZ","PHI","NYG","DEN","IND","KC","38"
"tnrosen","9","9","GB","NO","ATL","PIT","CLE","DAL","HOU","MN","NE","JAX","AZ","PHI","TB","OAK","SEA","KC","35"
"mikemarkowitz","9","9","GB","MIA","ATL","BAL","CIN","DAL","HOU","DET","NE","JAX","AZ","PHI","TB","OAK","SEA","KC","22"
"Geve and Steve","9","9","GB","NO","BUF","BAL","CIN","DAL","TEN","MN","NE","JAX","AZ","PHI","NYG","DEN","SEA","KC","17"
"TuesdayMorningQB","8","8","GB","NO","ATL","PIT","CIN","DAL","TEN","DET","NE","JAX","AZ","LAC","NYG","OAK","SEA","KC","47"
"Marc Cramer","8","8","GB","MIA","ATL","BAL","CLE","DAL","HOU","MN","NE","JAX","AZ","PHI","TB","DEN","SEA","KC","46"
"Chessdoc","8","8","GB","MIA","ATL","BAL","CIN","DAL","HOU","DET","NE","JAX","AZ","PHI","NYG","DEN","SEA","WAS","52"
"Pioneers85","8","8","GB","MIA","ATL","PIT","CLE","DAL","HOU","MN","NE","NYJ","AZ","LAC","NYG","DEN","SEA","KC","53"
"Balls Deep","8","8","GB","NO","ATL","PIT","CIN","DAL","TEN","MN","NE","JAX","AZ","LAC","NYG","DEN","SEA","KC","44"
"MSE=PA","8","8","GB","NO","ATL","PIT","CLE","DAL","HOU","MN","NE","JAX","AZ","LAC","NYG","DEN","SEA","KC","44"
"Rovner Team","8","8","GB","NO","ATL","PIT","CLE","DAL","HOU","MN","NE","JAX","AZ","PHI","NYG","DEN","IND","KC","44"
"nc7690","8","8","GB","NO","ATL","PIT","CLE","DAL","TEN","DET","NE","JAX","AZ","LAC","TB","DEN","SEA","WAS","44"
"Kosher Dill","8","8","GB","NO","ATL","BAL","CIN","DAL","TEN","DET","NE","JAX","AZ","LAC","NYG","DEN","SEA","KC","43"
"mteitelman","8","8","GB","MIA","ATL","BAL","CIN","DAL","HOU","MN","NE","JAX","AZ","PHI","TB","OAK","SEA","KC","42"
"Fire Goodell","8","8","GB","NO","ATL","PIT","CIN","DAL","TEN","MN","NE","JAX","AZ","PHI","NYG","OAK","SEA","KC","42"
"Agent of S.H.E.L.A.","8","8","GB","MIA","ATL","BAL","CIN","DAL","HOU","MN","NE","JAX","AZ","LAC","TB","DEN","SEA","KC","40"
"Dr. Blue","8","8","GB","NO","ATL","PIT","CIN","DAL","TEN","MN","NE","JAX","AZ","LAC","NYG","DEN","SEA","KC","39"
"They Might Be Giants","8","8","GB","NO","ATL","PIT","CIN","DAL","TEN","MN","NE","JAX","AZ","LAC","NYG","DEN","SEA","KC","60"
"Bag 'n' Shoes","8","8","GB","NO","ATL","PIT","CLE","DAL","TEN","MN","NE","JAX","AZ","PHI","TB","DEN","SEA","WAS","38"
"GKAT","8","8","GB","NO","ATL","BAL","CLE","DAL","HOU","MN","NE","JAX","AZ","LAC","TB","DEN","SEA","KC","35"
"GeverKriensky","8","8","GB","MIA","ATL","PIT","CIN","DAL","HOU","DET","NE","JAX","SF","LAC","NYG","DEN","SEA","KC","19"
"Sophie's Last Choice","7","7","GB","NO","ATL","PIT","CLE","DAL","TEN","MN","NE","JAX","AZ","PHI","TB","OAK","IND","KC","51"
"Lucky Laits","7","7","GB","MIA","ATL","BAL","CIN","DAL","TEN","DET","NE","JAX","AZ","LAC","NYG","DEN","SEA","KC","45"
"The System","7","7","GB","MIA","ATL","BAL","CLE","LAR","HOU","MN","NE","NYJ","AZ","LAC","NYG","OAK","SEA","KC","44"
"Headly IV","7","7","GB","MIA","ATL","BAL","CIN","DAL","HOU","DET","NE","JAX","AZ","LAC","NYG","OAK","SEA","KC","44"
"J Rosenthal","7","7","GB","NO","ATL","BAL","CLE","DAL","TEN","MN","NE","JAX","AZ","PHI","TB","OAK","SEA","KC","37"
"RichieRich$$","6","6","GB","MIA","ATL","PIT","CIN","DAL","TEN","MN","NE","JAX","AZ","LAC","NYG","OAK","SEA","KC","48"
"madbolt","6","6","GB","MIA","ATL","BAL","CIN","DAL","TEN","DET","NE","JAX","AZ","LAC","NYG","OAK","SEA","KC","52"
"Giant Expectations","6","6","GB","MIA","ATL","BAL","CIN","DAL","TEN","MN","NE","NYJ","AZ","LAC","NYG","OAK","SEA","KC","37"
"Keith Sweat Tailor","5","5","-","MIA","ATL","PIT","CLE","DAL","TEN","MN","NE","JAX","AZ","LAC","TB","OAK","SEA","KC","46"
